neighbourhood,room_type,price,minimum_nights,availability_365,accommodates,District,rental_type,license_disclosed
Waterfront Communities The Island,Entire home/apt,320,28,0,4,Toronto,Short-term rental,No
Dufferin Grove,Entire home/apt,225,28,358,4,Toronto,Short-term rental,No
Trinity Bellwoods,Entire home/apt,228,28,364,2,Toronto,Short-term rental,No
Bay Street Corridor,Private room,143,28,322,2,Toronto,Short-term rental,Yes
Church Yonge Corridor,Entire home/apt,375,30,365,4,Toronto,Long-term rental,No
The Beaches,Entire home/apt,145,29,184,4,Toronto,Long-term rental,No
Englemount Lawrence,Entire home/apt,85,28,268,3,Toronto,Short-term rental,Yes
North St James Town,Entire home/apt,159,5,60,3,Toronto,Short-term rental,Yes
Yonge Eglinton,Private room,129,28,319,4,Toronto,Short-term rental,Yes
Moss Park,Entire home/apt,255,31,365,2,Toronto,Long-term rental,No
Yonge Eglinton,Private room,108,28,293,2,Toronto,Short-term rental,Yes
Yonge Eglinton,Entire home/apt,152,28,190,4,Toronto,Short-term rental,Yes
Yonge Eglinton,Entire home/apt,159,28,0,5,Toronto,Short-term rental,Yes
Church Yonge Corridor,Entire home/apt,220,28,0,2,Toronto,Short-term rental,No
Niagara,Private room,159,2,194,2,Toronto,Short-term rental,Yes
Roncesvalles,Entire home/apt,140,2,128,2,Toronto,Short-term rental,Yes
East End Danforth,Entire home/apt,160,3,0,5,Toronto,Short-term rental,Yes
University,Entire home/apt,175,28,0,5,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,186,90,365,4,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,150,28,0,4,Toronto,Short-term rental,No
Annex,Entire home/apt,77,29,347,2,Toronto,Long-term rental,No
Lawrence Park North,Entire home/apt,293,14,234,6,Toronto,Short-term rental,Yes
Annex,Entire home/apt,163,30,307,4,Toronto,Long-term rental,No
Annex,Entire home/apt,130,30,266,3,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,150,180,343,3,Toronto,Long-term rental,No
East End Danforth,Entire home/apt,75,28,313,2,Toronto,Short-term rental,No
Trinity Bellwoods,Entire home/apt,275,28,365,6,Toronto,Short-term rental,No
East End Danforth,Entire home/apt,74,28,317,2,Toronto,Short-term rental,No
Danforth East York,Private room,50,28,221,1,Toronto,Short-term rental,No
Roncesvalles,Private room,41,28,0,1,Toronto,Short-term rental,No
Church Yonge Corridor,Entire home/apt,100,28,365,4,Toronto,Short-term rental,No
Mount Dennis,Private room,152,30,313,2,York,Long-term rental,No
University,Private room,95,28,38,1,Toronto,Short-term rental,No
Church Yonge Corridor,Private room,50,28,0,2,Toronto,Short-term rental,No
Kensington Chinatown,Entire home/apt,74,28,0,2,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,119,2,76,4,Toronto,Short-term rental,Yes
University,Entire home/apt,73,28,286,2,Toronto,Short-term rental,No
Roncesvalles,Entire home/apt,245,28,0,5,Toronto,Short-term rental,No
Trinity Bellwoods,Entire home/apt,91,28,316,2,Toronto,Short-term rental,No
Niagara,Private room,80,28,364,2,Toronto,Short-term rental,No
South Parkdale,Entire home/apt,159,2,24,3,Toronto,Short-term rental,Yes
Niagara,Entire home/apt,90,28,13,3,Toronto,Short-term rental,Yes
Bendale,Entire home/apt,69,30,160,4,Scarborough,Long-term rental,No
Little Portugal,Private room,57,28,244,2,Toronto,Short-term rental,No
Trinity Bellwoods,Entire home/apt,136,10,45,2,Toronto,Short-term rental,Yes
Regent Park,Entire home/apt,141,29,282,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Private room,91,4,23,2,Toronto,Short-term rental,Yes
Weston Pellam Park,Entire home/apt,115,3,10,2,York,Short-term rental,Yes
Dovercourt Wallace Emerson Junction,Entire home/apt,100,30,0,4,Toronto,Long-term rental,No
Yorkdale Glen Park,Entire home/apt,201,5,120,4,North York,Short-term rental,Yes
Palmerston Little Italy,Entire home/apt,714,3,151,10,Toronto,Short-term rental,Yes
South Parkdale,Entire home/apt,99,30,0,2,Toronto,Long-term rental,No
North Riverdale,Entire home/apt,100,28,0,2,Toronto,Short-term rental,No
Islington City Centre West,Entire home/apt,200,28,0,5,Etobicoke,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,196,28,204,3,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,189,90,365,2,Toronto,Long-term rental,No
Annex,Private room,54,30,221,1,Toronto,Long-term rental,No
Blake Jones,Entire home/apt,80,28,11,3,Toronto,Short-term rental,No
Cabbagetown South St James Town,Private room,96,5,83,1,Toronto,Short-term rental,Yes
Palmerston Little Italy,Private room,95,30,301,1,Toronto,Long-term rental,No
East End Danforth,Entire home/apt,259,1,222,4,Toronto,Short-term rental,Yes
Kensington Chinatown,Private room,221,28,365,3,Toronto,Short-term rental,No
Newtonbrook West,Entire home/apt,119,28,0,2,North York,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,480,700,350,2,Toronto,Long-term rental,No
Little Portugal,Entire home/apt,50,28,0,2,Toronto,Short-term rental,No
Mount Pleasant West,Private room,102,28,293,2,Toronto,Short-term rental,No
Moss Park,Entire home/apt,450,28,313,8,Toronto,Short-term rental,Yes
East End Danforth,Entire home/apt,57,28,252,2,Toronto,Short-term rental,No
Mount Pleasant West,Private room,99,28,326,2,Toronto,Short-term rental,No
Bay Street Corridor,Entire home/apt,212,3,129,2,Toronto,Short-term rental,Yes
Kensington Chinatown,Private room,120,28,365,2,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,85,28,1,4,Toronto,Short-term rental,No
South Parkdale,Private room,60,28,0,2,Toronto,Short-term rental,Yes
Little Portugal,Entire home/apt,121,28,0,5,Toronto,Short-term rental,No
Roncesvalles,Private room,65,28,88,2,Toronto,Short-term rental,No
Annex,Entire home/apt,69,28,5,3,Toronto,Short-term rental,No
Yonge St Clair,Entire home/apt,1000,28,0,6,Toronto,Short-term rental,No
Stonegate Queensway,Entire home/apt,90,28,0,2,Toronto,Short-term rental,No
Woodbine Corridor,Private room,180,28,343,2,Toronto,Short-term rental,No
Corso Italia Davenport,Entire home/apt,110,28,0,2,Toronto,Short-term rental,No
Annex,Entire home/apt,99,28,0,3,Toronto,Short-term rental,No
Annex,Entire home/apt,256,30,365,2,Toronto,Long-term rental,No
Roncesvalles,Entire home/apt,486,3,151,6,Toronto,Short-term rental,Yes
Little Portugal,Entire home/apt,145,28,0,4,Toronto,Short-term rental,No
North St James Town,Entire home/apt,170,90,190,2,Toronto,Long-term rental,No
Niagara,Entire home/apt,200,28,0,3,Toronto,Short-term rental,No
Yonge Eglinton,Entire home/apt,315,28,0,6,Toronto,Short-term rental,No
Niagara,Entire home/apt,229,28,0,5,Toronto,Short-term rental,No
Kensington Chinatown,Private room,109,3,33,2,Toronto,Short-term rental,Yes
South Riverdale,Entire home/apt,80,28,73,2,Toronto,Short-term rental,No
Willowdale East,Private room,96,28,0,2,North York,Short-term rental,No
South Parkdale,Entire home/apt,275,28,108,4,Toronto,Short-term rental,Yes
Yonge St Clair,Private room,100,28,0,1,Toronto,Short-term rental,No
Little Portugal,Entire home/apt,105,21,73,4,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,179,28,0,2,Toronto,Short-term rental,No
Little Portugal,Entire home/apt,136,28,0,3,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,211,2,179,4,Toronto,Short-term rental,Yes
Trinity Bellwoods,Entire home/apt,155,28,0,2,Toronto,Short-term rental,No
Church Yonge Corridor,Entire home/apt,79,28,333,4,Toronto,Short-term rental,No
Wychwood,Entire home/apt,139,80,189,2,Toronto,Long-term rental,No
The Beaches,Entire home/apt,250,28,134,6,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,123,28,0,2,Toronto,Short-term rental,No
Trinity Bellwoods,Entire home/apt,129,28,90,2,Toronto,Short-term rental,No
Danforth,Entire home/apt,100,30,268,2,Toronto,Long-term rental,No
South Riverdale,Entire home/apt,125,28,314,4,Toronto,Short-term rental,No
Oakridge,Private room,160,28,339,5,Scarborough,Short-term rental,Yes
Palmerston Little Italy,Entire home/apt,115,31,282,6,Toronto,Long-term rental,Exempt
Rockcliffe Smythe,Entire home/apt,150,28,0,3,York,Short-term rental,No
Stonegate Queensway,Entire home/apt,88,28,89,2,Toronto,Short-term rental,Yes
New Toronto,Private room,39,28,8,1,Etobicoke,Short-term rental,No
Rockcliffe Smythe,Entire home/apt,170,5,89,2,York,Short-term rental,Yes
Junction Area,Entire home/apt,109,28,0,4,Toronto,Short-term rental,No
Little Portugal,Entire home/apt,122,30,0,6,Toronto,Long-term rental,No
Flemingdon Park,Private room,50,28,251,1,North York,Short-term rental,No
Forest Hill South,Entire home/apt,150,28,365,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,119,28,125,2,Toronto,Short-term rental,No
Kensington Chinatown,Entire home/apt,150,30,210,2,Toronto,Long-term rental,No
Palmerston Little Italy,Entire home/apt,128,28,0,4,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,200,28,0,2,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,250,100,0,2,Toronto,Long-term rental,No
University,Private room,40,28,0,1,Toronto,Short-term rental,No
Niagara,Entire home/apt,200,28,0,2,Toronto,Short-term rental,No
Lawrence Park South,Entire home/apt,600,28,365,10,Toronto,Short-term rental,No
Corso Italia Davenport,Entire home/apt,230,28,239,6,Toronto,Short-term rental,Yes
Regent Park,Entire home/apt,77,28,0,3,Toronto,Short-term rental,No
North St James Town,Private room,45,28,0,1,Toronto,Short-term rental,No
Bedford Park Nortown,Entire home/apt,84,28,0,5,Toronto,Short-term rental,No
Rosedale Moore Park,Entire home/apt,248,30,313,4,Toronto,Long-term rental,No
Roncesvalles,Entire home/apt,195,28,271,2,Toronto,Short-term rental,Yes
